country,year,organism,antibiotic,resistant_percent,isolates_tested,source_file
Austria,2013,Acinetobacter species,aminoglycosides,9.8,51.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Austria,2014,Acinetobacter species,aminoglycosides,8.860759999999999,79.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Austria,2015,Acinetobacter species,aminoglycosides,6.3,63.0,"European/2015/Acinetobacter, Tables 3-21 to 3-25.xlsx [Table 3.22]"
Belgium,2015,Acinetobacter species,aminoglycosides,0.0,15.0,"European/2015/Acinetobacter, Tables 3-21 to 3-25.xlsx [Table 3.22]"
Bulgaria,2012,Acinetobacter species,aminoglycosides,58.5,65.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Bulgaria,2013,Acinetobacter species,aminoglycosides,58.2,91.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Bulgaria,2014,Acinetobacter species,aminoglycosides,63.63636,99.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Bulgaria,2015,Acinetobacter species,aminoglycosides,74.1,116.0,"European/2015/Acinetobacter, Tables 3-21 to 3-25.xlsx [Table 3.22]"
Croatia,2013,Acinetobacter species,aminoglycosides,92.1,114.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Croatia,2014,Acinetobacter species,aminoglycosides,88.02395,167.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Croatia,2015,Acinetobacter species,aminoglycosides,88.3,197.0,"European/2015/Acinetobacter, Tables 3-21 to 3-25.xlsx [Table 3.22]"
Cyprus,2012,Acinetobacter species,aminoglycosides,52.2,23.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Cyprus,2013,Acinetobacter species,aminoglycosides,60.6,33.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Cyprus,2014,Acinetobacter species,aminoglycosides,73.68421000000001,57.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Cyprus,2015,Acinetobacter species,aminoglycosides,74.6,59.0,"European/2015/Acinetobacter, Tables 3-21 to 3-25.xlsx [Table 3.22]"
Czech Republic,2013,Acinetobacter species,aminoglycosides,16.5,91.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
Czech Republic,2014,Acinetobacter species,aminoglycosides,10.16949,59.0,European/2014/Acinetobacter/number-acinetobacter-isolates-and-percentage-resistant-aminoglycosides-2012-2014.xlsx
